name+A1:Y1,elevation,geometry,UTM_Easting,UTM_Northing,Species name (scientific),Common name (local),Phenology,Type of stem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C,Wood density (g/cm3),Wood density (kg/m3),Tree Height,DBH,Biomass,Carbon
B13,1533.504,POINT (37.006716 -1.090114),278192.2562,9879436.077,Acacia dealbata,Silver wattle,Mature,straight,1,,,,,,,,,,,1,0.65,650,17.6,0.318309886,54.70147736,25.70969436
B14,1531.213,POINT (37.005832 -1.089714),278093.8176,9879480.251,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.13,,,,,,,,,,,1.13,0.77,770,15.6,0.359690171,72.82641522,34.22841515
B15,1534.675,POINT (37.00654 -1.087852),278172.4979,9879686.237,Jacaranda mimosifolia,blue jacaranda,Young,Forked,0.17,0.05,0.1,0.3,0.09,,,,,,,0.373496988,0.55,550,1.8,0.118887784,0.734208884,0.345078175
B16,1542.696,POINT (37.0069 -1.088257),278212.6038,9879641.471,Corymbia citriodora,Lemon-scented gum,Mature,straight,0.72,,,,,,,,,,,0.72,0.756,756,10.5,0.229183118,20.16537569,9.477726574
B17,1540.24,POINT (37.007296 -1.089088),278256.7483,9879549.593,Gleditsia triacanthos,honey locust,Mature,straight,1.06,,,,,,,,,,,1.06,0.6,600,16,0.337408479,51.64984564,24.27542745
B18,1532.634,POINT (37.008256 -1.089061),278363.6161,9879552.65,Peltophorum pterocarpum,Yellow Flame Tree,Mature,straight,2.19,,,,,,,,,,,2.19,0.62,620,17.6,0.697098651,241.2774985,113.4004243
B20,1540.436,POINT (37.005938 -1.090186),278105.6524,9879428.057,Peltophorum pterocarpum,Yellow Flame Tree,Mature,straight,1.03,1.17,,,,,,,,,,1.558781575,0.62,620,21.4,0.496175586,150.3661996,70.67211382
B21,1534.473,POINT (37.013576 -1.092454),278956.0995,9879177.784,Corymbia citriodora,Lemon-scented gum,Mature,straight,2.35,,,,,,,,,,,2.35,0.756,756,23.1,0.748028233,438.1494681,205.93025
B22,1536.4,POINT (37.013182 -1.092234),278912.2224,9879202.087,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.37,,,,,,,,,,,0.37,0.77,770,7.4,0.117774658,3.978232205,1.869769136
B23,1535.756,POINT (37.012815 -1.091426),278871.3081,9879291.422,Jacaranda mimosifolia,blue jacaranda,Mature,straight,1.64,,,,,,,,,,,1.64,0.55,550,29.5,0.522028213,202.0648253,94.9704679
B25,1534.32,POINT (37.012501 -1.092288),278836.4159,9879196.064,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.89,,,,,,,,,,,1.89,0.77,770,38.5,0.601605685,480.0133523,225.6062756
